State,GDP (in millions)
Alabama,281569.0
Alaska,65698.8
Arizona,475653.7
Arkansas,165989.3
California,3641643.4
Colorado,491289.0
Connecticut,319344.8
Delaware,90208.3
District of Columbia,165060.5
Florida,1439065.0
Georgia,767377.6
Hawaii,101082.6
Idaho,110871.1
Illinois,1025667.2
Indiana,470323.6
Iowa,238342.3
Kansas,209326.1
Kentucky,258981.2
Louisiana,291951.9
Maine,85801.2
Maryland,480112.7
Massachusetts,691460.6
Michigan,622562.7
Minnesota,448032.4
Mississippi,139976.4
Missouri,396889.9
Montana,67071.9
Nebraska,164933.9
Nevada,222938.6
New Hampshire,105024.6
New Jersey,754948.2
New Mexico,125540.6
New York,2048402.6
North Carolina,715968.3
North Dakota,72651.3
Ohio,825990.0
Oklahoma,242738.5
Oregon,297308.9
Pennsylvania,911813.3
Rhode Island,72771.4
South Carolina,297546.3
South Dakota,68781.7
Tennessee,485657.5
Texas,2402137.2
Utah,256369.9
Vermont,40830.8
Virginia,663105.5
Washington,738101.4
West Virginia,97417.3
Wisconsin,396209.3
Wyoming,49080.6